Course Name,University,Aptitude Score,Family_Income,Parental_Education_Level,Previous Score,Extracurricular activity,Difficulty Level,Course rating,Education_Num,Income_Level_Num,Difficulty_level_Num
My Favorite Lectures @ HKUST,The Hong Kong University of Science and Technology,58,Medium,High School,64,Yes,Advanced,5,76.0,72.0,96.0
English for Effective Business Speaking,The Hong Kong University of Science and Technology,94,High,High School,68,No,Advanced,4.6,76.0,84.0,96.0
Protecting Business Innovations via Trademark,The Hong Kong University of Science and Technology,76,Medium,High School,67,No,Intermediate,4.8,75.0,75.0,69.0
Health Concepts in Chinese Medicine,The Hong Kong University of Science and Technology,82,Medium,High School,64,Yes,Intermediate,4.7,72.0,74.0,70.0
FinTech Risk Management,The Hong Kong University of Science and Technology,71,Low,College,72,No,Beginner,4.6,63.0,63.0,61.0
Multiplatform Mobile App Development with Web Technologies: Ionic and Cordova,The Hong Kong University of Science and Technology,72,Low,High School,66,No,Advanced,4.4,70.0,56.0,90.0
Business English: Basics,The Hong Kong University of Science and Technology,52,Low,High School,71,Yes,Advanced,4.5,72.0,55.0,93.0
Programming with Scratch,The Hong Kong University of Science and Technology,74,Medium,High School,67,Yes,Advanced,3.9,71.0,77.0,94.0
Protecting Business Innovations via Strategy,The Hong Kong University of Science and Technology,71,Medium,College,65,No,Intermediate,4.7,56.0,78.0,67.0
Business English for Cross-cultural Communication,The Hong Kong University of Science and Technology,98,Low,High School,67,Yes,Advanced,4.8,71.0,61.0,93.0
Business Case Analysis,The Hong Kong University of Science and Technology,80,Medium,Postgraduate,63,No,Advanced,4,90.0,72.0,92.0
FinTech Security and Regulation (RegTech),The Hong Kong University of Science and Technology,51,Medium,Postgraduate,66,Yes,Intermediate,4.6,83.0,75.0,72.0
Multiplatform Mobile App Development with React Native,The Hong Kong University of Science and Technology,95,Medium,High School,67,Yes,Intermediate,4.3,70.0,75.0,72.0
Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,86,Medium,High School,73,Yes,Intermediate,4.7,78.0,74.0,69.0
Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,96,High,College,68,Yes,Intermediate,4.7,59.0,89.0,74.0
Green Business Strategy,The Hong Kong University of Science and Technology,58,Low,High School,69,No,Beginner,4.6,73.0,61.0,60.0
Vector Calculus for Engineers,The Hong Kong University of Science and Technology,93,Low,College,66,Yes,Beginner,4.8,58.0,60.0,60.0
Monetary Policy in the Asia Pacific,The Hong Kong University of Science and Technology,81,Medium,High School,67,Yes,Intermediate,4.8,76.0,75.0,68.0
"Accounting, Business and Society: The Multi-faceted Role of Accounting",The Hong Kong University of Science and Technology,80,Low,College,65,Yes,Intermediate,4.8,57.0,56.0,67.0
Introduction to Computers and Office Productivity Software,The Hong Kong University of Science and Technology,98,Medium,Postgraduate,64,Yes,Beginner,4.6,85.0,74.0,61.0
Matrix Algebra for Engineers,The Hong Kong University of Science and Technology,58,High,Postgraduate,71,Yes,Beginner,4.8,85.0,84.0,57.0
Social Science Approaches to the Study of Chinese Society Part 1,The Hong Kong University of Science and Technology,61,High,High School,70,No,Beginner,4.6,77.0,82.0,57.0
Social Science Approaches to the Study of Chinese Society Part 2,The Hong Kong University of Science and Technology,67,High,High School,65,Yes,Advanced,4.4,72.0,89.0,94.0
Developing Android Apps with App Inventor,The Hong Kong University of Science and Technology,96,Medium,Postgraduate,64,Yes,Advanced,4.1,92.0,74.0,92.0
Multiplatform Mobile App Development with NativeScript,The Hong Kong University of Science and Technology,95,Low,High School,66,Yes,Advanced,4.3,78.0,63.0,91.0
FinTech Disruptive Innovation: Implications for Society,The Hong Kong University of Science and Technology,83,Medium,College,71,No,Intermediate,4.8,56.0,78.0,67.0
Protecting Business Innovations via Copyright,The Hong Kong University of Science and Technology,66,High,College,68,No,Intermediate,4.8,59.0,87.0,67.0
Fibonacci Numbers and the Golden Ratio,The Hong Kong University of Science and Technology,56,High,High School,69,Yes,Intermediate,4.8,79.0,93.0,71.0
Introduction to Indoor Air Quality,The Hong Kong University of Science and Technology,89,Low,High School,61,Yes,Beginner,4.7,73.0,58.0,61.0
Chinaï¿½s Economic Transformation Part 1: Economic Reform and Growth in China,The Hong Kong University of Science and Technology,71,Low,High School,68,No,Beginner,4.9,79.0,56.0,58.0
Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,65,High,College,64,Yes,Advanced,4.4,61.0,85.0,90.0
The Science of Gastronomy,The Hong Kong University of Science and Technology,68,High,High School,65,Yes,Intermediate,4.6,70.0,87.0,67.0
"Server-side Development with NodeJS, Express and MongoDB",The Hong Kong University of Science and Technology,100,High,High School,65,No,Advanced,4.6,79.0,84.0,97.0
"Server-side Development with NodeJS, Express and MongoDB",The Hong Kong University of Science and Technology,52,High,College,69,Yes,Advanced,4.6,62.0,90.0,92.0
Chinese Politics Part 2 ï¿½ China and the World,The Hong Kong University of Science and Technology,51,Low,College,66,No,Not Calibrated,4.7,61.0,62.0,56.0
Mastering Statics,The Hong Kong University of Science and Technology,99,Medium,High School,70,Yes,Intermediate,4.7,70.0,75.0,67.0
Chinese Politics Part 1 ï¿½ China and Political Science,The Hong Kong University of Science and Technology,73,Medium,College,71,Yes,Intermediate,4.8,61.0,74.0,67.0
"Information Systems Auditing, Controls and Assurance",The Hong Kong University of Science and Technology,88,Medium,College,71,No,Beginner,4.7,58.0,72.0,61.0
Front-End Web Development with React,The Hong Kong University of Science and Technology,72,Medium,Postgraduate,67,Yes,Intermediate,4.5,90.0,73.0,68.0
English for Effective Business Writing,The Hong Kong University of Science and Technology,96,High,College,74,No,Advanced,4.4,60.0,89.0,89.0
Linux Tools for Developers,The Linux Foundation,86,Low,High School,68,Yes,Advanced,4.5,71.0,60.0,90.0
Using Git for Distributed Development,The Linux Foundation,82,Medium,High School,66,No,Advanced,4.6,75.0,71.0,93.0
Open Source Software Development Methods,The Linux Foundation,88,Low,High School,66,Yes,Intermediate,4.5,79.0,63.0,70.0
Linux for Developers,The Linux Foundation,88,High,High School,65,Yes,Advanced,4.4,78.0,93.0,92.0
Seeing Through Photographs,The Museum of Modern Art,52,Low,College,68,Yes,Intermediate,4.8,59.0,60.0,68.0
Art & Ideas: Teaching with Themes,The Museum of Modern Art,61,High,College,67,Yes,Intermediate,4.8,57.0,85.0,72.0
Art & Activity: Interactive Strategies for Engaging with Art,The Museum of Modern Art,99,High,College,75,No,Advanced,4.7,61.0,91.0,89.0
What Is Contemporary Art?,The Museum of Modern Art,56,Medium,High School,68,Yes,Intermediate,4.7,79.0,75.0,73.0
Modern Art & Ideas,The Museum of Modern Art,65,Low,High School,64,No,Beginner,4.7,72.0,61.0,60.0
Fashion as Design,The Museum of Modern Art,70,Low,High School,64,Yes,Intermediate,4.8,70.0,63.0,69.0
Epidemics - the Dynamics of Infectious Diseases,The Pennsylvania State University,74,Medium,College,71,No,Intermediate,4.7,60.0,73.0,68.0
Dairy Production and Management,The Pennsylvania State University,90,Medium,High School,68,Yes,Beginner,4.8,80.0,77.0,57.0
Maps and the Geospatial Revolution,The Pennsylvania State University,96,Medium,High School,71,Yes,Intermediate,4.7,80.0,78.0,75.0
Geodesign: Change Your World,The Pennsylvania State University,89,Medium,High School,68,Yes,Intermediate,4.7,70.0,71.0,68.0
"Creativity, Innovation and Transformation",The Pennsylvania State University,68,Medium,High School,65,No,Advanced,4.4,78.0,73.0,88.0
The Roles and Responsibilities of Nonprofit Boards of Directors within the Governance Process,The State University of New York,80,Medium,College,69,No,Intermediate,4.3,60.0,75.0,72.0
Smart Contracts,The State University of New York,69,Low,High School,69,No,Advanced,4.6,72.0,60.0,93.0
International Cyber Conflicts,The State University of New York,72,Medium,High School,67,Yes,Beginner,4.5,80.0,72.0,62.0
Making Sense of the News: News Literacy Lessons for Digital Citizens,The State University of New York,70,Low,Postgraduate,67,Yes,Intermediate,4.8,90.0,61.0,73.0
Digital Thread: Implementation,The State University of New York,81,Medium,High School,67,No,Beginner,4.7,80.0,72.0,58.0
Practical Time Series Analysis,The State University of New York,97,Low,High School,97,No,Intermediate,4.5,75.0,62.0,67.0
Solar Energy Basics,The State University of New York,66,High,High School,69,Yes,Intermediate,4.8,75.0,84.0,74.0
ADHD: Everyday Strategies for Elementary Students,The State University of New York,57,High,Postgraduate,66,Yes,Beginner,4.7,81.0,87.0,57.0
Digital Manufacturing & Design,The State University of New York,90,Low,High School,70,Yes,Beginner,4.7,72.0,58.0,59.0
Career Total Fitness Annual Retreat,The State University of New York,64,Low,College,66,No,Advanced,3,56.0,59.0,96.0
Solar Energy Systems Overview,The State University of New York,53,Low,High School,67,Yes,Beginner,4.7,70.0,56.0,58.0
Safety in the Utility Industry,The State University of New York,55,Low,High School,63,No,Beginner,4.8,76.0,60.0,60.0
Solar Energy System Design,The State University of New York,98,Low,College,68,No,Intermediate,4.7,60.0,63.0,74.0
Foundations for Assisting in Home Care,The State University of New York,64,Medium,College,64,Yes,Beginner,4.6,62.0,79.0,62.0
Job Success: Get Hired or Promoted in 3 Steps,The State University of New York,65,Low,Postgraduate,66,Yes,Conversant,4.5,86.0,62.0,84.0
Intelligent Machining,The State University of New York,78,High,High School,65,No,Beginner,4.6,75.0,93.0,61.0
Empowering Yourself in a Post-Truth World,The State University of New York,75,Medium,High School,69,Yes,Intermediate,4.4,79.0,80.0,75.0
Mastering Remote Work and Online Study in U.S. in the post-COVID Era,The State University of New York,65,Low,College,61,Yes,Advanced,4.1,62.0,60.0,90.0
How to Get Skilled: Introduction to Individual Skills Management (Project-Centered Course),The State University of New York,86,Medium,High School,69,No,Beginner,3.5,73.0,73.0,61.0
Roadmap to Success in Digital Manufacturing & Design,The State University of New York,68,Medium,College,68,Yes,Beginner,4.7,63.0,79.0,57.0
Computer Vision Basics,The State University of New York,88,Low,Postgraduate,65,No,Beginner,3.8,89.0,55.0,61.0
"Big Data, Genes, and Medicine",The State University of New York,65,Low,High School,63,No,Intermediate,4.1,75.0,57.0,71.0
Strategic Self-Marketing and Personal Branding,The State University of New York,94,Medium,Postgraduate,64,No,Intermediate,4.3,83.0,75.0,67.0
Solar Energy and Electrical System Design,The State University of New York,69,Medium,High School,64,Yes,Intermediate,4.7,70.0,74.0,68.0
Advanced Manufacturing Process Analysis,The State University of New York,58,Medium,College,64,No,Conversant,4.5,63.0,79.0,80.0
How to Write a Resume (Project-Centered Course),The State University of New York,68,Medium,High School,67,Yes,Intermediate,4.5,70.0,70.0,71.0
Career Brand Development and Self-Coaching,The State University of New York,80,High,Postgraduate,69,No,Intermediate,4.4,82.0,85.0,72.0
Advanced Manufacturing Enterprise,The State University of New York,100,Low,High School,67,Yes,Beginner,4.6,77.0,55.0,62.0
MBSE: Model-Based Systems Engineering,The State University of New York,84,Low,College,72,Yes,Beginner,4.4,58.0,60.0,60.0
"Introduction to the Nonprofit Sector, Nonprofit Organizations, Nonprofit Leadership and Governance",The State University of New York,87,Medium,High School,70,No,Intermediate,4.4,70.0,77.0,72.0
Decentralized Applications (Dapps),The State University of New York,60,Medium,College,67,No,Advanced,4.5,62.0,75.0,96.0
Energy: The Enterprise,The State University of New York,73,High,College,66,No,Beginner,4.7,62.0,93.0,59.0
Capstone - Managing Board Change for Higher Levels of Leadership and Governance Effectiveness,The State University of New York,79,Low,College,71,No,Advanced,4.1,60.0,60.0,93.0
Cyber Security in Manufacturing,The State University of New York,90,Low,High School,66,No,Beginner,4.7,72.0,63.0,62.0
Ignite Your Everyday Creativity,The State University of New York,95,High,High School,69,Yes,Advanced,4.3,80.0,87.0,89.0
How To Create a Website in a Weekend! (Project-Centered Course),The State University of New York,92,Medium,High School,65,Yes,Advanced,3,73.0,74.0,94.0
The Factors that Influence the Effectiveness of Boards and the Governance Process,The State University of New York,76,Medium,Postgraduate,64,Yes,Advanced,4.6,83.0,78.0,92.0
Electric Power Systems,The State University of New York,82,Low,College,62,Yes,Beginner,4.7,61.0,63.0,57.0
Blockchain Platforms,The State University of New York,96,High,College,68,No,Advanced,4.6,59.0,93.0,90.0
Global Health Diplomacy,The State University of New York,91,High,High School,72,Yes,Beginner,4.5,70.0,90.0,62.0
"Solar Energy Codes, Permitting and Zoning",The State University of New York,78,Low,Postgraduate,68,Yes,Intermediate,4.8,92.0,61.0,72.0
Strategic Career Self-Management,The State University of New York,81,High,High School,71,No,Beginner,4.5,78.0,86.0,57.0
Metaliteracy: Empowering Yourself in a Connected World,The State University of New York,82,Medium,Postgraduate,64,Yes,Beginner,4.3,89.0,70.0,57.0
Blockchain Basics,The State University of New York,81,Low,Postgraduate,71,No,Beginner,4.5,93.0,63.0,59.0
Collaborative Robot Safety: Design & Deployment,The State University of New York,69,Low,High School,70,No,Beginner,4.7,73.0,59.0,62.0
Digital Thread: Components,The State University of New York,70,Low,Postgraduate,68,Yes,Beginner,4.6,93.0,58.0,60.0
Exploring Emerging Technologies for Lifelong Learning and Success,The State University of New York,53,Medium,Postgraduate,65,No,Beginner,3.7,89.0,74.0,59.0
Natural Gas,The State University of New York,67,Medium,College,73,Yes,Beginner,4.7,63.0,76.0,57.0
Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,59,Low,Postgraduate,68,Yes,Intermediate,4.9,88.0,55.0,74.0
Internet Giants: The Law and Economics of Media Platforms,The University of Chicago,90,Medium,Postgraduate,73,Yes,Beginner,4.8,81.0,77.0,59.0
Global Warming I: The Science and Modeling of Climate Change,The University of Chicago,96,High,College,61,No,Advanced,4.5,60.0,85.0,91.0
Critical Issues in Urban Education,The University of Chicago,80,Low,High School,70,No,Not Calibrated,4.7,73.0,56.0,56.0
Software Defined Networking,The University of Chicago,87,Low,College,66,Yes,Advanced,4.6,59.0,55.0,94.0
"Philosophy, Science and Religion: Philosophy and Religion",The University of Edinburgh,58,Low,High School,66,No,Intermediate,4.6,74.0,55.0,67.0
Data Science in Stratified Healthcare and Precision Medicine,The University of Edinburgh,51,Medium,High School,67,Yes,Conversant,4.6,76.0,74.0,84.0
AstroTech: The Science and Technology behind Astronomical Discovery,The University of Edinburgh,87,Medium,High School,65,Yes,Beginner,4.7,80.0,74.0,60.0
Code Yourself! An Introduction to Programming,The University of Edinburgh,66,High,High School,65,Yes,Conversant,4.7,73.0,83.0,82.0
EDIVET: Do you have what it takes to be a veterinarian?,The University of Edinburgh,79,Low,High School,73,Yes,Beginner,4.7,80.0,59.0,60.0
Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,The University of Edinburgh,85,Medium,College,70,No,Beginner,4.6,56.0,75.0,57.0
Introduction to Philosophy,The University of Edinburgh,64,Medium,High School,72,Yes,Beginner,4.6,78.0,79.0,59.0
Intellectual Humility: Science,The University of Edinburgh,57,Medium,College,66,Yes,Intermediate,4.7,56.0,74.0,68.0
Intellectual Humility: Theory,The University of Edinburgh,86,Low,Postgraduate,65,No,Beginner,4.5,87.0,60.0,59.0
Fundamentals of Music Theory,The University of Edinburgh,94,Medium,College,72,Yes,Intermediate,4.2,56.0,79.0,67.0
Research Data Management and Sharing,The University of Edinburgh,98,Low,High School,64,No,Intermediate,4.7,79.0,60.0,73.0
"Philosophy, Science and Religion: Science and Philosophy",The University of Edinburgh,72,Low,College,69,No,Beginner,4.3,56.0,56.0,58.0
Know Thyself - The Value and Limits of Self-Knowledge: The Unconscious,The University of Edinburgh,71,Medium,High School,68,Yes,Advanced,4.7,73.0,79.0,96.0
The Making of the US President: A Short History in Five Elections,The University of Edinburgh,52,Medium,High School,59,Yes,Intermediate,4.6,77.0,80.0,75.0
Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life,The University of Edinburgh,58,Medium,College,59,Yes,Beginner,4.6,57.0,73.0,58.0
Chicken Behaviour and Welfare,The University of Edinburgh,70,Low,College,63,No,Beginner,4.7,61.0,59.0,62.0
Philosophy and the Sciences: Introduction to the Philosophy of Physical Sciences,The University of Edinburgh,86,Low,High School,64,Yes,Beginner,4.6,80.0,57.0,62.0
Understanding Obesity,The University of Edinburgh,77,Medium,Postgraduate,65,No,Intermediate,4.6,82.0,75.0,70.0
Intellectual Humility: Practice,The University of Edinburgh,71,Medium,High School,68,No,Beginner,4.6,72.0,78.0,60.0
Digital Footprint,The University of Edinburgh,68,Low,Postgraduate,71,Yes,Conversant,4.6,82.0,60.0,82.0
Astrobiology and the Search for Extraterrestrial Life,The University of Edinburgh,88,High,High School,68,Yes,Beginner,4.7,75.0,92.0,61.0
"Philosophy, Science and Religion: Religion and Science",The University of Edinburgh,92,Low,College,67,Yes,Beginner,4.4,63.0,62.0,61.0
"Sit Less, Get Active",The University of Edinburgh,56,High,High School,69,No,Intermediate,4.5,80.0,91.0,74.0
Materials in Oral Health,The University of Hong Kong,71,Low,College,67,Yes,Intermediate,4.7,59.0,55.0,67.0
Implant Dentistry,The University of Hong Kong,68,Low,College,63,Yes,Advanced,4.9,59.0,63.0,89.0
University Teaching,The University of Hong Kong,92,Medium,High School,65,Yes,Intermediate,4.8,80.0,75.0,75.0
Epidemics,The University of Hong Kong,69,Low,High School,63,No,Beginner,4.8,74.0,63.0,57.0
Epigenetic Control of Gene Expression,The University of Melbourne,79,Low,High School,66,No,Beginner,4.8,79.0,60.0,62.0
Advanced Modeling for Discrete Optimization,The University of Melbourne,95,Medium,High School,70,Yes,Advanced,4.9,80.0,78.0,95.0
Basic Modeling for Discrete Optimization,The University of Melbourne,80,Medium,High School,67,No,Intermediate,4.8,70.0,80.0,68.0
Essentials of Corporate Finance Capstone,The University of Melbourne,52,Low,High School,64,No,Intermediate,4.7,78.0,57.0,75.0
Solving Algorithms for Discrete Optimization,The University of Melbourne,81,Medium,Postgraduate,71,Yes,Advanced,4.8,88.0,70.0,96.0
The Language and Tools of Financial Analysis,The University of Melbourne,72,Low,College,69,No,Conversant,4.6,63.0,63.0,83.0
Assessment and Teaching of 21st Century Skills,The University of Melbourne,96,Low,High School,72,Yes,Not Calibrated,4.6,77.0,56.0,50.0
Alternative Approaches to Valuation and Investment,The University of Melbourne,80,High,College,70,No,Intermediate,4.7,60.0,86.0,69.0
Moving to the Cloud,The University of Melbourne,54,Medium,College,62,Yes,Beginner,4.5,62.0,72.0,60.0
The Role of Global Capital Markets,The University of Melbourne,53,Medium,College,65,No,Beginner,4.6,63.0,73.0,61.0
Foundations of International Psychiatry,The University of Melbourne,75,Medium,High School,63,No,Advanced,4.4,72.0,72.0,89.0
Corporate Financial Decision-Making for Value Creation,The University of Melbourne,78,Medium,High School,70,Yes,Beginner,4.7,73.0,75.0,59.0
Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,85,Medium,High School,62,Yes,Beginner,4.8,70.0,75.0,60.0
Psychology of Popularity,The University of North Carolina at Chapel Hill,83,Low,College,64,No,Beginner,4.6,55.0,57.0,58.0
"The American South: Its Stories, Music, and Art",The University of North Carolina at Chapel Hill,82,Low,College,67,No,Beginner,4.4,62.0,55.0,62.0
Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,99,Low,High School,69,No,Intermediate,4.6,75.0,63.0,73.0
Reasoning Across the Disciplines,The University of North Carolina at Chapel Hill,77,Low,High School,71,No,Advanced,4.5,80.0,57.0,94.0
Infection Prevention in Nursing Homes,The University of North Carolina at Chapel Hill,91,High,College,63,No,Beginner,4.8,63.0,87.0,62.0
Positive Psychology,The University of North Carolina at Chapel Hill,79,Low,High School,70,No,Beginner,4.6,71.0,57.0,57.0
Fundamentals of Rehearsing Music Ensembles,The University of North Carolina at Chapel Hill,65,Medium,College,66,No,Beginner,4.8,62.0,77.0,62.0
Whatï¿½s Your Big Idea?,The University of North Carolina at Chapel Hill,77,High,High School,71,Yes,Advanced,4.6,72.0,90.0,92.0
Understanding the Australian economy: An introduction to macroeconomic and financial policies,The University of Sydney,87,Low,High School,63,Yes,Intermediate,4.6,80.0,61.0,71.0
Information & Digital Literacy for University Success,The University of Sydney,78,Low,High School,65,No,Beginner,4.9,74.0,61.0,59.0
Data-driven Astronomy,The University of Sydney,65,Low,College,65,No,Advanced,4.8,56.0,58.0,88.0
The Place of Music in 21st Century Education,The University of Sydney,59,High,High School,62,No,Beginner,4.8,75.0,83.0,58.0
Positive Psychiatry and Mental Health,The University of Sydney,63,High,High School,67,Yes,Intermediate,4.7,77.0,91.0,72.0
"Easing the burden of obesity, diabetes and cardiovascular disease",The University of Sydney,100,High,College,69,No,Intermediate,4.4,56.0,91.0,73.0
Ethical Social Media,The University of Sydney,54,Medium,Postgraduate,70,Yes,Advanced,4.2,81.0,77.0,93.0
Communication Skills for University Success,The University of Sydney,59,Medium,Postgraduate,63,No,Beginner,4.8,86.0,71.0,59.0
eHealth: More than just an electronic record,The University of Sydney,72,Low,High School,65,No,Beginner,4.5,75.0,63.0,61.0
Cultural Competence - Aboriginal Sydney,The University of Sydney,90,High,High School,65,No,Beginner,4.6,73.0,81.0,57.0
Academic Skills for University Success: Capstone,The University of Sydney,79,High,High School,65,No,Beginner,4.7,80.0,88.0,59.0
Introduction to Calculus,The University of Sydney,87,Low,High School,67,No,Beginner,4.8,78.0,56.0,59.0
Using clinical health data for better healthcare,The University of Sydney,62,High,College,66,Yes,Intermediate,4.6,63.0,91.0,75.0
Problem-Solving Skills for University Success,The University of Sydney,99,Medium,High School,72,Yes,Beginner,4.8,72.0,72.0,61.0
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,71,Medium,Postgraduate,66,No,Conversant,4.5,85.0,76.0,83.0
"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,61,Low,Postgraduate,67,No,Intermediate,4.7,86.0,58.0,74.0
Critical Thinking Skills for University Success,The University of Sydney,89,Low,High School,62,Yes,Intermediate,4.7,73.0,58.0,67.0
Interactive Computer Graphics,The University of Tokyo,51,Low,College,59,No,Advanced,4.3,56.0,63.0,88.0
Welcome to Game Theory,The University of Tokyo,54,Medium,College,68,Yes,Advanced,4.6,59.0,70.0,95.0
Words Spun Out of Images: Visual and Literary Culture in Nineteenth Century Japan,The University of Tokyo,59,High,College,70,No,Intermediate,4.8,56.0,84.0,67.0
From the Big Bang to Dark Energy,The University of Tokyo,64,High,College,65,Yes,Beginner,4.8,59.0,81.0,59.0
Global Health Policy,The University of Tokyo,73,Medium,High School,62,No,Intermediate,4.6,70.0,78.0,72.0
Studying at Japanese Universities,The University of Tokyo,60,Low,Postgraduate,71,No,Beginner,4.8,84.0,60.0,58.0
From Climate Science to Action,The World Bank Group,75,Medium,College,67,Yes,Intermediate,4.7,60.0,77.0,67.0
Conversational English Skills,Tsinghua University,99,Medium,High School,71,No,Advanced,4.5,73.0,77.0,91.0
General Academic English,Tsinghua University,84,Medium,High School,70,Yes,Intermediate,4.1,70.0,71.0,74.0
Just Reading and Writing English 2,Tsinghua University,96,Low,College,67,Yes,Advanced,4.9,63.0,59.0,89.0
Just Reading and Writing English 1,Tsinghua University,57,Medium,College,65,Yes,Intermediate,4.2,57.0,76.0,67.0
Integrating Scripts for Scene Interactions,Unity,65,Medium,College,64,Yes,Advanced,4.8,56.0,79.0,96.0
"Lighting, Reflection, and Post Processing Effects",Unity,75,Low,Postgraduate,70,No,Advanced,4.7,87.0,60.0,91.0
Handheld AR App Development with Unity,Unity,84,High,College,70,No,Advanced,3.8,57.0,88.0,95.0
Core Interaction Programming,Unity,59,High,College,69,Yes,Beginner,4.6,58.0,81.0,57.0
"Introduction to XR: VR, AR, and MR Foundations",Unity,97,Medium,College,70,Yes,Intermediate,3.9,60.0,73.0,71.0
3D Art and Audio Pipeline,Unity,72,Low,College,76,No,Advanced,4.3,63.0,56.0,97.0
Mobile VR App Development with Unity,Unity,70,Medium,High School,68,No,Advanced,2.9,80.0,71.0,89.0
Character Setup and Animation,Unity,73,Medium,College,71,Yes,Advanced,4.9,55.0,74.0,92.0
3D Interactions and Navigation,Unity,69,Medium,College,67,Yes,Advanced,4.5,57.0,73.0,88.0
Creating Cutscenes in Unity,Unity,91,High,Postgraduate,69,Yes,Advanced,4.9,81.0,92.0,88.0
Application Systems Programming,Unity,78,Low,High School,67,No,Advanced,3.8,79.0,55.0,94.0
Asset Creation and Management,Unity,97,Medium,High School,67,No,Advanced,4.6,79.0,70.0,88.0
Magic in the Middle Ages,Universitat de Barcelona,51,Medium,High School,67,Yes,Beginner,4.4,74.0,79.0,61.0
The entrepreneur's guide for beginners,Universitat de Barcelona,94,Medium,High School,71,Yes,Beginner,4.6,79.0,70.0,60.0
Oceanography: a key to better understand our world,Universitat de Barcelona,64,Medium,Postgraduate,66,Yes,Advanced,4.4,84.0,75.0,90.0
A Voice of Their Own. Women's Spirituality in the Middle Ages.,Universitat de Barcelona,89,Low,College,70,Yes,Advanced,4.4,62.0,63.0,89.0
Prehospital care of acute stroke and patient selection for endovascular treatment using the RACE scale,Universitat de Barcelona,97,Medium,College,68,No,Beginner,4.8,57.0,77.0,58.0
Population Health: Alternative Payment Models,Universiteit Leiden,90,High,High School,65,No,Advanced,4.9,76.0,89.0,88.0
The Rooseveltian Century,Universiteit Leiden,81,Low,Postgraduate,66,No,Advanced,4.7,85.0,56.0,93.0
International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,97,High,High School,69,Yes,Advanced,4.8,77.0,91.0,89.0
Political Economy of Institutions and Development,Universiteit Leiden,53,Medium,College,66,Yes,Intermediate,4.7,57.0,80.0,67.0
De-Mystifying Mindfulness,Universiteit Leiden,78,Low,High School,61,No,Intermediate,4.8,74.0,63.0,71.0
A Circular Economy of Metals: Towards a Sustainable Societal Metabolism,Universiteit Leiden,66,Low,College,63,Yes,Beginner,4.7,58.0,55.0,60.0
Population Health: Fundamentals of Population Health Management,Universiteit Leiden,85,Medium,High School,67,No,Advanced,4.5,74.0,78.0,95.0
International Humanitarian Law in Theory and Practice,Universiteit Leiden,82,Medium,High School,62,No,Beginner,4.8,74.0,75.0,60.0
Rethinking International Tax Law,Universiteit Leiden,64,Low,High School,62,No,Intermediate,4.8,77.0,60.0,75.0
EU policy and implementation: making Europe work!,Universiteit Leiden,71,Medium,High School,65,Yes,Advanced,4.2,76.0,76.0,97.0
Population Health: Panel Management Next Level,Universiteit Leiden,79,Low,High School,64,Yes,Advanced,5,75.0,63.0,90.0
Evolution Today,Universiteit Leiden,64,Low,High School,64,Yes,Intermediate,4.6,78.0,58.0,75.0
Population Health: Study Design,Universiteit Leiden,94,Low,High School,71,Yes,Intermediate,4.4,78.0,63.0,70.0
Population Health: Responsible Data Analysis,Universiteit Leiden,80,Low,College,72,Yes,Advanced,4.8,56.0,58.0,96.0
The Cosmopolitan Medieval Arabic World,Universiteit Leiden,61,Medium,High School,66,Yes,Intermediate,4.8,73.0,76.0,74.0
Population Health: Health & Health Behaviour,Universiteit Leiden,79,Low,College,65,Yes,Intermediate,3.9,62.0,63.0,75.0
"Knowledge Exchange: Using, Protecting and Monetizing Ideas with Third Parties",Universiteit Leiden,89,Low,College,70,Yes,Advanced,4.4,57.0,57.0,88.0
The Changing Global Order,Universiteit Leiden,50,Medium,High School,67,Yes,Intermediate,4.7,80.0,73.0,67.0
Security & Safety Challenges in a Globalized World,Universiteit Leiden,56,Low,Postgraduate,72,Yes,Intermediate,4.8,90.0,58.0,71.0
Population Health: Syndemics,Universiteit Leiden,76,Medium,High School,64,Yes,Intermediate,5,70.0,77.0,69.0
Population Health: Governance,Universiteit Leiden,65,Low,High School,69,No,Advanced,4.8,76.0,57.0,95.0
Risk in Modern Society,Universiteit Leiden,73,High,Postgraduate,72,Yes,Intermediate,4.8,82.0,91.0,75.0
On Being a Scientist,Universiteit Leiden,65,Medium,High School,60,Yes,Advanced,4.5,75.0,72.0,89.0
Mind of the Universe - Genetic Privacy: should we be concerned?,Universiteit Leiden,82,Low,College,73,Yes,Beginner,3.8,61.0,58.0,62.0
